M, N, K, iter, error, time
256, 16, -1, 0, 255.038960, 20.000000
256, 16, 16, 1, 4932089.214604, 10.000000
256, 16, 16, 2, 4932089.214604, 0.000000
256, 16, 16, 3, 4932089.214604, 10.000000
256, 16, 16, 4, 338962284.510930, 10.000000
256, 16, 16, 5, 338962284.510930, 10.000000
256, 16, 28, 1, 787.181084, 0.000000
256, 16, 28, 2, 787.181084, 10.000000
256, 16, 28, 3, 787.181084, 10.000000
256, 16, 28, 4, 787.181084, 10.000000
256, 16, 28, 5, 787.181084, 0.000000
256, 16, 40, 1, 406.226880, 10.000000
256, 16, 40, 2, 406.226880, 10.000000
256, 16, 40, 3, 406.226880, 0.000000
256, 16, 40, 4, 406.226880, 10.000000
256, 16, 40, 5, 406.226880, 10.000000
256, 16, 52, 1, 315.437729, 0.000000
256, 16, 52, 2, 315.437729, 10.000000
256, 16, 52, 3, 315.437729, 10.000000
256, 16, 52, 4, 315.437729, 0.000000
256, 16, 52, 5, 315.437729, 10.000000
256, 16, 64, 1, 295.735844, 10.000000
256, 16, 64, 2, 295.735844, 10.000000
256, 16, 64, 3, 295.735844, 10.000000
256, 16, 64, 4, 295.735844, 10.000000
256, 16, 64, 5, 295.735844, 10.000000
256, 16, 76, 1, 278.820826, 10.000000
256, 16, 76, 2, 278.820826, 10.000000
256, 16, 76, 3, 278.820826, 10.000000
256, 16, 76, 4, 278.820826, 0.000000
256, 16, 76, 5, 278.820826, 10.000000
256, 16, 88, 1, 269.337502, 0.000000
256, 16, 88, 2, 269.337502, 20.000000
256, 16, 88, 3, 269.337502, 10.000000
256, 16, 88, 4, 269.337502, 0.000000
256, 16, 88, 5, 269.337502, 10.000000
256, 16, 100, 1, 268.253662, 10.000000
256, 16, 100, 2, 268.253662, 10.000000
256, 16, 100, 3, 268.253662, 10.000000
256, 16, 100, 4, 268.253662, 10.000000
256, 16, 100, 5, 268.253662, 10.000000
256, 16, 112, 1, 264.302475, 10.000000
256, 16, 112, 2, 264.302475, 10.000000
256, 16, 112, 3, 264.302475, 10.000000
256, 16, 112, 4, 264.302475, 10.000000
256, 16, 112, 5, 264.302475, 0.000000
256, 17, -1, 0, 254.874503, 10.000000
256, 17, 17, 1, 1001933.797797, 10.000000
256, 17, 17, 2, 1001933.797797, 10.000000
256, 17, 17, 3, 1001933.797797, 0.000000
256, 17, 17, 4, 1001933.797797, 10.000000
256, 17, 17, 5, 1001933.797797, 10.000000
256, 17, 29, 1, 635.782948, 0.000000
256, 17, 29, 2, 635.782948, 10.000000
256, 17, 29, 3, 635.782948, 0.000000
256, 17, 29, 4, 635.782948, 10.000000
256, 17, 29, 5, 635.782948, 0.000000
256, 17, 41, 1, 368.267890, 0.000000
256, 17, 41, 2, 368.267890, 10.000000
256, 17, 41, 3, 368.267890, 20.000000
256, 17, 41, 4, 368.267890, 10.000000
256, 17, 41, 5, 368.267890, 10.000000
256, 17, 53, 1, 319.923533, 0.000000
256, 17, 53, 2, 319.923533, 10.000000
256, 17, 53, 3, 319.923533, 10.000000
256, 17, 53, 4, 319.923533, 10.000000
256, 17, 53, 5, 333.519454, 10.000000
256, 17, 65, 1, 307.159265, 10.000000
